# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8600,4.7400,1.0735,1.0735
-1.8600,4.6900,1.0512,1.0512
-1.9100,4.6400,1.0770,1.0770
-1.9100,4.5900,1.0595,1.0595
-1.9100,4.5400,1.0440,1.0440
-1.9600,4.4900,1.0794,1.0794
-1.9600,4.4400,1.0689,1.0689
-1.9600,4.3900,1.0595,1.0595
-2.0100,4.3400,1.0920,1.0920
-2.0100,4.2900,1.0794,1.0794
-2.0100,4.2400,1.0689,1.0689
-2.0600,4.1900,1.1068,1.1068
-2.0600,4.1400,1.0920,1.0920
-2.0600,4.0900,1.0794,1.0794
-2.0600,4.0400,1.0689,1.0689
-2.1100,3.9900,1.1068,1.1068
-2.1100,3.9400,1.0920,1.0920
-2.1100,3.8900,1.0770,1.0770
-2.1100,3.8400,1.0595,1.0595
-2.1100,3.7900,1.0440,1.0440
-2.1100,3.7400,1.0308,1.0308
-2.1100,3.6900,1.0198,1.0198
-2.1100,3.6400,1.0112,1.0112
-2.1100,3.5900,1.0050,1.0050
-2.1100,3.5400,1.0012,1.0012
-2.1100,3.4900,1.0000,1.0000
-2.1100,3.4400,1.0000,1.0000
-2.1100,3.3900,1.0000,1.0000
-2.1100,3.3400,1.0000,1.0000
-2.1100,3.2900,1.0000,1.0000
-2.1100,3.2400,1.0000,1.0000
-2.1100,3.1900,1.0000,1.0000
-2.1100,3.1400,1.0000,1.0000
-2.1100,3.0900,1.0000,1.0000
-2.1100,3.0400,1.0000,1.0000
-2.0600,2.9900,0.9500,0.9500
-2.0600,2.9400,0.9513,0.9513
-2.0600,2.8900,0.9552,0.9552
-2.0600,2.8400,0.9618,0.9618
-2.0100,2.7900,0.9220,0.9220
-2.0100,2.7400,0.9341,0.9341
-2.0100,2.6900,0.9487,0.9487
-2.0100,2.6400,0.9500,0.9500
-1.9600,2.5900,0.9014,0.9014
-1.9600,2.5400,0.9055,0.9055
-1.9600,2.4900,0.9124,0.9124
-1.9100,2.4400,0.8732,0.8732
-1.9100,2.3900,0.8860,0.8860
-1.9100,2.3400,0.9014,0.9014
-1.8600,2.2900,0.8732,0.8732
-1.8600,2.2400,0.8944,0.8944
-1.8100,2.1900,0.8732,0.8732
-1.8100,2.1400,0.8944,0.8944
-1.8100,2.0900,0.9179,0.9179
-1.8100,2.0400,0.9301,0.9301
-1.7600,1.9900,0.9301,0.9301
-1.7600,1.9400,0.9179,0.9179
-1.7100,1.8900,0.9301,0.9301
-1.6600,1.8400,0.9179,0.9179
-1.6100,1.7900,0.9014,0.9014
-1.6100,1.7400,0.9179,0.9179
-1.5600,1.6900,0.9014,0.9014
-1.5100,1.6400,0.8902,0.8902
-1.4600,1.5900,0.8846,0.8846
-1.4100,1.5900,0.8846,0.8846
-1.3600,1.5400,0.8846,0.8846
-1.3100,1.4900,0.8846,0.8846
-1.2600,1.4400,0.8846,0.8846
-1.2100,1.3900,0.8846,0.8846
-1.1600,1.3400,0.8846,0.8846
-1.1100,1.3400,0.8602,0.8602
-1.0600,1.2900,0.8746,0.8746
-1.0100,1.2400,0.8732,0.8732
-0.9600,1.1900,0.8382,0.8382
-0.9100,1.1900,0.8544,0.8544
-0.8600,1.1900,0.8732,0.8732
-0.8100,1.1400,0.8500,0.8500
-0.7600,1.1400,0.8732,0.8732
-0.7100,1.1400,0.8500,0.8500
-0.6600,1.1400,0.8276,0.8276
-0.6100,1.1400,0.8078,0.8078
-0.5600,1.1400,0.7906,0.7906
-0.5100,1.1400,0.7762,0.7762
-0.4600,1.0900,0.8139,0.8139
-0.4100,1.0900,0.8062,0.8062
-0.3600,1.0900,0.8016,0.8016
-0.3100,1.0900,0.8000,0.8000
-0.2600,1.0900,0.8000,0.8000
-0.2100,1.0900,0.8000,0.8000
-0.1600,1.0900,0.8016,0.8016
-0.1100,1.0900,0.8062,0.8062
-0.0600,1.1400,0.7649,0.7649
-0.0100,1.1400,0.7762,0.7762
0.0400,1.1400,0.7906,0.7906
0.0900,1.1900,0.7616,0.7616
0.1400,1.1900,0.7826,0.7826
0.1900,1.1900,0.8062,0.8062
0.2400,1.2400,0.7906,0.7906
0.2900,1.2400,0.8201,0.8201
0.3400,1.2900,0.8139,0.8139
0.3900,1.3400,0.8139,0.8139
0.4400,1.3900,0.8062,0.8062
0.4900,1.4400,0.7906,0.7906
0.5400,1.4900,0.7810,0.7810
0.5900,1.5400,0.7778,0.7778
0.5900,1.5900,0.7778,0.7778
0.6400,1.6400,0.7810,0.7810
0.6900,1.6900,0.7810,0.7810
0.6900,1.7400,0.7632,0.7632
0.7400,1.7900,0.7826,0.7826
0.7400,1.8400,0.7616,0.7616
0.7900,1.8900,0.7826,0.7826
0.7900,1.9400,0.7616,0.7616
0.8400,1.9900,0.7826,0.7826
0.8400,2.0400,0.7616,0.7616
0.8900,2.0900,0.7826,0.7826
0.9400,2.1400,0.8062,0.8062
0.9900,2.1900,0.8062,0.8062
0.9900,2.2400,0.7906,0.7906
1.0400,2.2900,0.8062,0.8062
1.0400,2.3400,0.7826,0.7826
1.0900,2.3900,0.8062,0.8062
1.1400,2.4400,0.8139,0.8139
1.1900,2.4900,0.8139,0.8139
1.2400,2.5400,0.8201,0.8201
1.2900,2.5900,0.8062,0.8062
1.2900,2.6400,0.8062,0.8062
1.3400,2.6900,0.8062,0.8062
1.3900,2.7400,0.7906,0.7906
1.3900,2.7900,0.7810,0.7810
1.4400,2.8400,0.7906,0.7906
1.4900,2.8900,0.8062,0.8062
1.4900,2.9400,0.7826,0.7826
1.5400,2.9900,0.8062,0.8062
1.5900,3.0400,0.7906,0.7906
1.6400,3.0900,0.7810,0.7810
1.6400,3.1400,0.7810,0.7810
1.6900,3.1900,0.7906,0.7906
1.7400,3.2400,0.7810,0.7810
1.7400,3.2900,0.7810,0.7810
1.7900,3.3400,0.7906,0.7906
1.8400,3.3900,0.8062,0.8062
1.8900,3.4400,0.8139,0.8139
1.9400,3.4900,0.8139,0.8139
1.9400,3.5400,0.7906,0.7906
1.9900,3.5900,0.8062,0.8062
1.9900,3.6400,0.7826,0.7826
2.0400,3.6900,0.8062,0.8062
2.0900,3.7400,0.8276,0.8276
2.1400,3.7900,0.8485,0.8485
2.1900,3.8400,0.8485,0.8485
2.2400,3.8900,0.8485,0.8485
2.2400,3.9400,0.8485,0.8485
2.2900,3.9900,0.8485,0.8485
2.3400,4.0400,0.8485,0.8485
2.3900,4.0900,0.8515,0.8515
2.4400,4.1400,0.8602,0.8602
2.4900,4.1900,0.8746,0.8746
2.5400,4.2400,0.8846,0.8846
2.5900,4.2900,0.8746,0.8746
2.6400,4.3400,0.8602,0.8602
2.6400,4.3900,0.8515,0.8515
2.6900,4.4400,0.8602,0.8602
2.7400,4.4900,0.8515,0.8515
2.7900,4.5400,0.8485,0.8485
2.8400,4.5900,0.8322,0.8322
2.8400,4.6400,0.8201,0.8201
2.8900,4.6900,0.8322,0.8322
2.8900,4.7400,0.8062,0.8062
2.9400,4.7900,0.8276,0.8276
2.9400,4.8400,0.8062,0.8062
2.9400,4.8900,0.7826,0.7826
2.9900,4.9400,0.8078,0.8078
2.9900,4.9900,0.7906,0.7906
2.9900,5.0400,0.7762,0.7762
2.9900,5.0900,0.7616,0.7616
2.9900,5.1400,0.7433,0.7433
3.0400,5.1900,0.7762,0.7762
3.0400,5.2400,0.7649,0.7649
3.0400,5.2900,0.7566,0.7566
3.0400,5.3400,0.7517,0.7517
3.0400,5.3900,0.7500,0.7500
3.0400,5.4400,0.7500,0.7500
3.0400,5.4900,0.7500,0.7500
3.0400,5.5400,0.7500,0.7500
2.9900,5.5900,0.7000,0.7000
2.9900,5.6400,0.7000,0.7000
2.9900,5.6900,0.7018,0.7018
2.9400,5.7400,0.6576,0.6576
2.9400,5.7900,0.6671,0.6671
2.9400,5.8400,0.6801,0.6801
2.9400,5.8900,0.6964,0.6964
2.9400,5.9400,0.7159,0.7159
2.8900,5.9900,0.6946,0.6946
2.8900,6.0400,0.7159,0.7159
2.8900,6.0900,0.7382,0.7382
2.8900,6.1400,0.7616,0.7616
2.8400,6.1900,0.7500,0.7500
2.8400,6.2400,0.7616,0.7616
2.7900,6.2900,0.7778,0.7778
2.7400,6.3400,0.7632,0.7632
2.6900,6.3900,0.7500,0.7500
2.6900,6.4400,0.7810,0.7810
2.6400,6.4900,0.7778,0.7778
2.5900,6.5400,0.7778,0.7778
2.5900,6.5900,0.7810,0.7810
2.5400,6.6400,0.7906,0.7906
2.4900,6.6900,0.8062,0.8062
2.4400,6.7400,0.8078,0.8078
2.3900,6.7900,0.7826,0.7826
2.3400,6.7900,0.8062,0.8062
2.2900,6.8400,0.7826,0.7826
2.2400,6.8400,0.7906,0.7906
2.1900,6.8900,0.7906,0.7906
2.1400,6.8900,0.7826,0.7826
2.0900,6.9400,0.7906,0.7906
2.0400,6.9400,0.7826,0.7826
1.9900,6.9900,0.7826,0.7826
1.9400,6.9900,0.7826,0.7826
1.8900,7.0400,0.7826,0.7826
1.8400,7.0400,0.7826,0.7826
1.7900,7.0400,0.7616,0.7616
1.7400,7.0400,0.7382,0.7382
1.6900,7.0400,0.7159,0.7159
1.6400,7.0400,0.6964,0.6964
1.5900,7.0900,0.7280,0.7280
1.5400,7.0900,0.7159,0.7159
1.4900,7.0900,0.7071,0.7071
1.4400,7.0900,0.7018,0.7018
1.3900,7.0900,0.7000,0.7000
1.3400,7.0900,0.7000,0.7000
1.2900,7.1400,0.7500,0.7500
1.2400,7.1400,0.7500,0.7500
1.1900,7.1400,0.7500,0.7500
1.1400,7.1400,0.7500,0.7500
1.0900,7.1900,0.8000,0.8000
1.0400,7.1900,0.8000,0.8000
0.9900,7.1900,0.8000,0.8000
0.9400,7.1900,0.8016,0.8016
0.8900,7.1900,0.8062,0.8062
0.8400,7.1900,0.8139,0.8139
0.7900,7.2400,0.8732,0.8732
0.7400,7.2400,0.8860,0.8860
0.6900,7.2400,0.9014,0.9014
0.6400,7.2400,0.9124,0.9124
0.5900,7.2400,0.9220,0.9220
0.5400,7.2400,0.9341,0.9341
0.4900,7.2400,0.9487,0.9487
0.4400,7.2400,0.9657,0.9657
0.3900,7.2400,0.9849,0.9849
0.3400,7.2400,1.0000,1.0000
0.2900,7.2400,1.0000,1.0000
0.2400,7.2400,1.0000,1.0000
0.1900,7.2400,1.0000,1.0000
0.1400,7.1900,1.0500,1.0500
0.0900,7.1900,1.0500,1.0500
