# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0000,0.0000,0.8500,0.8500
0.0000,-0.0500,0.8500,0.8500
0.0000,-0.1000,0.8515,0.8515
0.0000,-0.1500,0.8559,0.8559
0.0000,-0.2000,0.8631,0.8631
0.0000,-0.2500,0.8732,0.8732
0.0000,-0.3000,0.8860,0.8860
0.0000,-0.3500,0.9000,0.9000
0.0500,-0.4000,0.8732,0.8732
0.0500,-0.4500,0.8860,0.8860
0.0500,-0.5000,0.9014,0.9014
0.0500,-0.5500,0.9055,0.9055
0.0500,-0.6000,0.9014,0.9014
0.1000,-0.6500,0.9179,0.9179
0.1000,-0.7000,0.9341,0.9341
0.1500,-0.7500,0.9179,0.9179
0.1500,-0.8000,0.9434,0.9434
0.1500,-0.8500,0.9301,0.9301
0.2000,-0.9000,0.9434,0.9434
0.2500,-0.9500,0.9552,0.9552
0.3000,-1.0000,0.9552,0.9552
0.3500,-1.0500,0.9605,0.9605
0.4000,-1.1000,0.9708,0.9708
0.4500,-1.1500,0.9487,0.9487
0.5000,-1.2000,0.9192,0.9192
0.5500,-1.2000,0.9341,0.9341
0.6000,-1.2500,0.9000,0.9000
0.6500,-1.2500,0.9000,0.9000
0.7000,-1.2500,0.9014,0.9014
0.7500,-1.3000,0.8559,0.8559
0.8000,-1.3000,0.8631,0.8631
0.8500,-1.3000,0.8732,0.8732
0.9000,-1.3000,0.8732,0.8732
0.9500,-1.3000,0.8544,0.8544
1.0000,-1.3000,0.8382,0.8382
1.0500,-1.3000,0.8246,0.8246
1.1000,-1.3500,0.8631,0.8631
1.1500,-1.3500,0.8559,0.8559
1.2000,-1.3500,0.8515,0.8515
1.2500,-1.3500,0.8500,0.8500
1.3000,-1.3500,0.8500,0.8500
1.3500,-1.3500,0.8500,0.8500
1.4000,-1.3500,0.8500,0.8500
1.4500,-1.3500,0.8500,0.8500
1.5000,-1.3500,0.8500,0.8500
1.5500,-1.3500,0.8500,0.8500
1.6000,-1.3500,0.8500,0.8500
1.6500,-1.3500,0.8500,0.8500
1.7000,-1.3500,0.8500,0.8500
1.7500,-1.4000,0.9000,0.9000
1.8000,-1.4000,0.9000,0.9000
1.8500,-1.4000,0.9014,0.9014
1.9000,-1.4000,0.9055,0.9055
1.9500,-1.4000,0.9124,0.9124
2.0000,-1.4000,0.9220,0.9220
2.0500,-1.4000,0.9341,0.9341
2.1000,-1.4000,0.9487,0.9487
2.1500,-1.4000,0.9500,0.9500
2.2000,-1.4000,0.9500,0.9500
2.2500,-1.4000,0.9500,0.9500
2.3000,-1.4000,0.9500,0.9500
2.3500,-1.4500,0.9487,0.9487
2.4000,-1.4500,0.9500,0.9500
2.4500,-1.4500,0.9500,0.9500
2.5000,-1.4500,0.9500,0.9500
2.5500,-1.4500,0.9500,0.9500
2.6000,-1.4500,0.9500,0.9500
2.6500,-1.4500,0.9500,0.9500
2.7000,-1.4500,0.9500,0.9500
2.7500,-1.4500,0.9500,0.9500
2.8000,-1.4500,0.9500,0.9500
2.8500,-1.4500,0.9500,0.9500
2.9000,-1.4500,0.9500,0.9500
2.9500,-1.4500,0.9500,0.9500
3.0000,-1.4500,0.9500,0.9500
3.0500,-1.4500,0.9500,0.9500
3.1000,-1.4500,0.9500,0.9500
3.1500,-1.4500,0.9500,0.9500
3.2000,-1.4500,0.9500,0.9500
3.2500,-1.4500,0.9500,0.9500
3.3000,-1.5000,0.9000,0.9000
3.3500,-1.5000,0.9014,0.9014
3.4000,-1.5000,0.9055,0.9055
3.4500,-1.5000,0.9124,0.9124
3.5000,-1.5000,0.9220,0.9220
3.5500,-1.5000,0.9341,0.9341
3.6000,-1.5000,0.9487,0.9487
3.6500,-1.5000,0.9500,0.9500
3.7000,-1.5000,0.9500,0.9500
3.7500,-1.5000,0.9500,0.9500
3.8000,-1.5000,0.9500,0.9500
3.8500,-1.5000,0.9500,0.9500
3.9000,-1.5000,0.9500,0.9500
3.9500,-1.5000,0.9500,0.9500
4.0000,-1.5500,0.9000,0.9000
4.0500,-1.5500,0.9000,0.9000
4.1000,-1.5500,0.9014,0.9014
4.1500,-1.5500,0.9055,0.9055
4.2000,-1.5500,0.9124,0.9124
4.2500,-1.5500,0.9220,0.9220
4.3000,-1.5500,0.9341,0.9341
4.3500,-1.5500,0.9487,0.9487
4.4000,-1.5500,0.9500,0.9500
4.4500,-1.5500,0.9500,0.9500
4.5000,-1.5500,0.9487,0.9487
4.5500,-1.5500,0.9341,0.9341
4.6000,-1.5500,0.9220,0.9220
4.6500,-1.5500,0.9124,0.9124
4.7000,-1.5500,0.9055,0.9055
4.7500,-1.5000,0.8515,0.8515
4.8000,-1.5000,0.8500,0.8500
4.8500,-1.5000,0.8500,0.8500
4.9000,-1.5000,0.8500,0.8500
4.9500,-1.5000,0.8500,0.8500
5.0000,-1.5000,0.8500,0.8500
5.0500,-1.5000,0.8500,0.8500
5.1000,-1.5000,0.8500,0.8500
5.1500,-1.4500,0.8016,0.8016
5.2000,-1.4500,0.8062,0.8062
5.2500,-1.4500,0.8139,0.8139
5.3000,-1.4500,0.8246,0.8246
5.3500,-1.4500,0.8382,0.8382
5.4000,-1.4500,0.8544,0.8544
5.4500,-1.4000,0.8246,0.8246
5.5000,-1.4000,0.8382,0.8382
5.5500,-1.4000,0.8544,0.8544
5.6000,-1.3500,0.8276,0.8276
5.6500,-1.3500,0.8500,0.8500
5.7000,-1.3500,0.8746,0.8746
5.7500,-1.3000,0.8602,0.8602
5.8000,-1.2500,0.8500,0.8500
5.8500,-1.2000,0.8322,0.8322
5.9000,-1.1500,0.8201,0.8201
5.9500,-1.1000,0.8139,0.8139
6.0000,-1.0500,0.8062,0.8062
6.0500,-1.0000,0.7826,0.7826
6.0500,-0.9500,0.7810,0.7810
6.1000,-0.9000,0.7826,0.7826
6.1000,-0.8500,0.7632,0.7632
6.1500,-0.8000,0.7826,0.7826
6.1500,-0.7500,0.7616,0.7616
6.2000,-0.7000,0.7826,0.7826
6.2000,-0.6500,0.7616,0.7616
6.2000,-0.6000,0.7382,0.7382
6.2500,-0.5500,0.7616,0.7616
6.2500,-0.5000,0.7382,0.7382
6.2500,-0.4500,0.7159,0.7159
6.2500,-0.4000,0.6964,0.6964
6.3000,-0.3500,0.7280,0.7280
6.3000,-0.3000,0.7159,0.7159
6.3000,-0.2500,0.7071,0.7071
6.3000,-0.2000,0.7018,0.7018
6.3500,-0.1500,0.7500,0.7500
6.3500,-0.1000,0.7500,0.7500
6.3500,-0.0500,0.7500,0.7500
6.3500,0.0000,0.7500,0.7500
6.3500,0.0500,0.7500,0.7500
6.3500,0.1000,0.7500,0.7500
6.3500,0.1500,0.7500,0.7500
6.3500,0.2000,0.7500,0.7500
6.3500,0.2500,0.7500,0.7500
6.3500,0.3000,0.7500,0.7500
6.3500,0.3500,0.7500,0.7500
6.3500,0.4000,0.7500,0.7500
6.3500,0.4500,0.7500,0.7500
