# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.1700,3.9500,1.0595,1.0595
-0.2200,3.9500,1.0770,1.0770
-0.2700,3.9500,1.0920,1.0920
-0.3200,3.9500,1.1068,1.1068
-0.3700,3.9000,1.0770,1.0770
-0.4200,3.9000,1.0920,1.0920
-0.4700,3.9000,1.1068,1.1068
-0.5200,3.8500,1.0689,1.0689
-0.5700,3.8500,1.0794,1.0794
-0.6200,3.8500,1.0920,1.0920
-0.6700,3.8000,1.0595,1.0595
-0.7200,3.8000,1.0770,1.0770
-0.7700,3.7500,1.0440,1.0440
-0.8200,3.7500,1.0595,1.0595
-0.8700,3.7000,1.0308,1.0308
-0.9200,3.7000,1.0512,1.0512
-0.9700,3.6500,1.0296,1.0296
-1.0200,3.6500,1.0512,1.0512
-1.0700,3.6500,1.0735,1.0735
-1.1200,3.6000,1.0548,1.0548
-1.1700,3.6000,1.0817,1.0817
-1.2200,3.5500,1.0700,1.0700
-1.2700,3.5500,1.0817,1.0817
-1.3200,3.5000,1.0735,1.0735
-1.3700,3.4500,1.0512,1.0512
-1.4200,3.4000,1.0296,1.0296
-1.4700,3.4000,1.0548,1.0548
-1.5200,3.3500,1.0404,1.0404
-1.5700,3.3500,1.0404,1.0404
-1.6200,3.3000,1.0548,1.0548
-1.6700,3.2500,1.0404,1.0404
-1.7200,3.2000,1.0308,1.0308
-1.7700,3.1500,1.0259,1.0259
-1.8200,3.1000,1.0259,1.0259
-1.8700,3.0500,1.0259,1.0259
-1.9200,3.0000,1.0259,1.0259
-1.9700,2.9500,1.0259,1.0259
-2.0200,2.9000,1.0259,1.0259
-2.0700,2.8500,1.0259,1.0259
-2.1200,2.8000,1.0062,1.0062
-2.1700,2.7500,0.9823,0.9823
-2.1700,2.7000,0.9962,0.9962
-2.2200,2.6500,0.9618,0.9618
-2.2700,2.6000,0.9220,0.9220
-2.2700,2.5500,0.9341,0.9341
-2.2700,2.5000,0.9487,0.9487
-2.3200,2.4500,0.9055,0.9055
-2.3200,2.4000,0.9124,0.9124
-2.3700,2.3500,0.8732,0.8732
-2.3700,2.3000,0.8860,0.8860
-2.3700,2.2500,0.9014,0.9014
-2.3700,2.2000,0.9192,0.9192
-2.3700,2.1500,0.9192,0.9192
-2.3700,2.1000,0.9014,0.9014
-2.3700,2.0500,0.8860,0.8860
-2.4200,2.0000,0.9192,0.9192
-2.4200,1.9500,0.9014,0.9014
-2.4200,1.9000,0.8860,0.8860
-2.4200,1.8500,0.8732,0.8732
-2.4200,1.8000,0.8631,0.8631
-2.4200,1.7500,0.8559,0.8559
-2.4200,1.7000,0.8515,0.8515
-2.4200,1.6500,0.8500,0.8500
-2.4200,1.6000,0.8500,0.8500
-2.4200,1.5500,0.8500,0.8500
-2.4200,1.5000,0.8500,0.8500
-2.4200,1.4500,0.8500,0.8500
-2.4200,1.4000,0.8515,0.8515
-2.4200,1.3500,0.8559,0.8559
-2.4200,1.3000,0.8631,0.8631
-2.4200,1.2500,0.8732,0.8732
-2.4200,1.2000,0.8860,0.8860
-2.4200,1.1500,0.9000,0.9000
-2.3700,1.1000,0.8732,0.8732
-2.3700,1.0500,0.8860,0.8860
-2.3700,1.0000,0.9014,0.9014
-2.3700,0.9500,0.9055,0.9055
-2.3700,0.9000,0.9014,0.9014
-2.3200,0.8500,0.9179,0.9179
-2.3200,0.8000,0.9341,0.9341
-2.2700,0.7500,0.9179,0.9179
